id,title,latitude,longitude,locality,address,gender,available_for,transit_score,lifestyle_score,occupancy,rent,deposit,attached_bathroom,food_included,breakfast,lunch,dinner,mess,wifi,laundry,power_backup,refrigerator,common_tv,room_cleaning,warden,cooking_allowed,parking,total_bathrooms,room_ac,room_cupboard,room_tv,room_geyser,room_bedding,room_attached_bath,gate_closing_time,smoking_allowed,guardian_required,nonveg_allowed
8a9f8f0393b8d2ab0193b8df7b3f0154,PG for Boys in Sholinganallur,12.88367359520976,80.2285516,OMR-Sholinganallur,"Rajiv Gandhi Salai,Near HMPA CHURCH, Sholinganallur, Sholinganallur, chennai",MALE,Both,,,DOUBLE,7000,3000,True,True,True,True,True,True,True,False,True,True,True,False,False,True,Bike,24,False,True,True,True,True,True,,True,True,True
8a9f8f0393b8d2ab0193b8df7b3f0154,PG for Boys in Sholinganallur,12.88367359520976,80.2285516,OMR-Sholinganallur,"Rajiv Gandhi Salai,Near HMPA CHURCH, Sholinganallur, Sholinganallur, chennai",MALE,Both,,,THREE,7000,7000,True,True,True,True,True,True,True,False,True,True,True,False,False,True,Bike,24,False,True,True,True,True,True,,True,True,True
8a9f8f0393b8d2ab0193b8df7b3f0154,PG for Boys in Sholinganallur,12.88367359520976,80.2285516,OMR-Sholinganallur,"Rajiv Gandhi Salai,Near HMPA CHURCH, Sholinganallur, Sholinganallur, chennai",MALE,Both,,,FOUR,6000,3000,True,True,True,True,True,True,True,False,True,True,True,False,False,True,Bike,24,False,True,True,True,True,True,,True,True,True
ff8081816b0c84f1016b0caad013226c,"PG for Girls in Old Mahabalipuram Road, ",12.913773966500246,80.22976532578468,OMR-Karappakam,"Anna St, Near  Karapakkam Sivan Temple, Old Mahabalipuram Road, , Old Mahabalipuram Road, , chennai",FEMALE,Both,,,SINGLE,8000,3000,True,True,True,True,True,True,True,False,False,True,True,True,True,True,Bike,205,True,True,True,True,True,True,,True,True,False
ff8081816b0c84f1016b0caad013226c,"PG for Girls in Old Mahabalipuram Road, ",12.913773966500246,80.22976532578468,OMR-Karappakam,"Anna St, Near  Karapakkam Sivan Temple, Old Mahabalipuram Road, , Old Mahabalipuram Road, , chennai",FEMALE,Both,,,DOUBLE,7000,3000,True,True,True,True,True,True,True,False,False,True,True,True,True,True,Bike,205,True,True,True,True,True,True,,True,True,False
ff8081816b0c84f1016b0caad013226c,"PG for Girls in Old Mahabalipuram Road, ",12.913773966500246,80.22976532578468,OMR-Karappakam,"Anna St, Near  Karapakkam Sivan Temple, Old Mahabalipuram Road, , Old Mahabalipuram Road, , chennai",FEMALE,Both,,,THREE,6000,3000,True,True,True,True,True,True,True,False,False,True,True,True,True,True,Bike,205,True,True,True,True,True,True,,True,True,False
ff8081816b0c84f1016b0caad013226c,"PG for Girls in Old Mahabalipuram Road, ",12.913773966500246,80.22976532578468,OMR-Karappakam,"Anna St, Near  Karapakkam Sivan Temple, Old Mahabalipuram Road, , Old Mahabalipuram Road, , chennai",FEMALE,Both,,,FOUR,5000,3000,True,True,True,True,True,True,True,False,False,True,True,True,True,True,Bike,205,True,True,True,True,True,True,,True,True,False
ff80818167f47c5a0167f4b9b2582457,"PG for Girls in Mig-2, Tnhb Main Rd, Tnhb, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.89695973894688,80.23537784814835,OMR-Sholinganallur,"tnhb 1500 sholinganallur, MIG-2, TNHB Main Rd, TNHB, Sholinganallur, Chennai, Tamil Nadu 600119, India, MIG-2, TNHB Main Rd, TNHB, Sholinganallur, Chennai, Tamil Nadu 600119, India, chennai",FEMALE,Working Professional,,,DOUBLE,10000,30000,False,False,False,False,False,False,True,True,True,True,True,True,True,False,Car,5,True,True,True,True,True,True,,True,True,False
ff80818167f47c5a0167f4b9b2582457,"PG for Girls in Mig-2, Tnhb Main Rd, Tnhb, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.89695973894688,80.23537784814835,OMR-Sholinganallur,"tnhb 1500 sholinganallur, MIG-2, TNHB Main Rd, TNHB, Sholinganallur, Chennai, Tamil Nadu 600119, India, MIG-2, TNHB Main Rd, TNHB, Sholinganallur, Chennai, Tamil Nadu 600119, India, chennai",FEMALE,Working Professional,,,FOUR,0,0,False,False,False,False,False,False,True,True,True,True,True,True,True,False,Car,5,,,,,,,,True,True,False
8a9f948497ab0cac0197ab4eface23d3,"PG for Girls in 39, Rajiv Gandhi Salai, Ezhil Nagar, Omr, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.899284385500332,80.22851139307022,Sholinganallur,"Rajiv Gandhi Salai near Sri Lakshmi Jewellers, 39, Rajiv Gandhi Salai, Ezhil Nagar, OMR, Sholinganallur, Chennai, Tamil Nadu 600119, India, 39, Rajiv Gandhi Salai, Ezhil Nagar, OMR, Sholinganallur, Chennai, Tamil Nadu 600119, India, chennai",FEMALE,Both,6.2,6.2,SINGLE,6500,3000,False,True,True,True,True,True,True,True,False,True,False,True,True,True,Bike,4,False,False,False,False,False,False,11:00 PM,True,False,False
